seq_num,board_time_us,event_type,sensor_id,delta_us,flags,sync_state,confidence,tier,loss_detected,seq_gap
2887,241000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2899,242000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2911,243000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2923,244000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2935,245000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2947,246000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2959,247000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2971,248000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2983,249000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
2995,250000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3007,251000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3019,252000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3031,253000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3043,254000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3055,255000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3067,256000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3079,257000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3091,258000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3103,259000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3115,260000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3127,261000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3139,262000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3151,263000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3163,264000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3175,265000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3187,266000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3199,267000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3211,268000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3223,269000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3235,270000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3247,271000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3259,272000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3271,273000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3283,274000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3295,275000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3307,276000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3319,277000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3331,278000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3343,279000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3355,280000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3367,281000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3379,282000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3391,283000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3403,284000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3415,285000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3427,286000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3439,287000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3451,288000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3463,289000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3475,290000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3487,291000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3499,292000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3511,293000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3523,294000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3535,295000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3547,296000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3559,297000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3571,298000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3583,299000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3595,300000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3607,301000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3619,302000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3631,303000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3643,304000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3655,305000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3667,306000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3679,307000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3691,308000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3703,309000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3715,310000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3727,311000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3739,312000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3751,313000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3763,314000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3775,315000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3787,316000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3799,317000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3811,318000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3823,319000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3835,320000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3847,321000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3859,322000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3871,323000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3883,324000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3895,325000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3907,326000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3919,327000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3931,328000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3943,329000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3955,330000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3967,331000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3979,332000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
3991,333000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
4003,334000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
4015,335000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
4027,336000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
4039,337000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
